title,author,description,publisher,year,image_url,category
Loving Kindness,H.H. the Dalai Lama,"In this calming board book, with an inspiring loving kindness meditation for adults and kids to practice together, young readers can discover a meditation that inspires loving kindness.",DK,2025,https://www.dalailama.com/assets/books/_bookCover/loving-kindness-n.jpg,Meditation
Peaceful Mind,H.H. the Dalai Lama,"In this calming board book with a meditation exercise for adults and kids to practice together, young readers can discover breathwork and other tips on how to bring calm to a busy mind.",DK,2025,https://www.dalailama.com/assets/books/_bookCover/peaceful-mind-n.jpg,Meditation
Voice for the Voiceless,H.H. the Dalai Lama,His Holiness the Dalai Lama tells the full story of his struggle with China to save Tibet and its people for nearly seventy-five years.,William Morrow,2025,https://www.dalailama.com/assets/books/_bookCover/n-Voice-for-voiceless.jpg,Autobiography
Vajrayana and the Culmination of the Path - Library of Wisdom and Compassion Vol 10,H.H. the Dalai Lama and Ven Thubten Chodron,The final volume the Dalai Lama takes us to the uncommon practices and realizations of Vajrayana to the full awakening of a buddha.,Wisdom Publications,2024,https://www.dalailama.com/assets/books/_bookCover/n-Library-of-Wisdom-and-Compassion-v10.jpg,Buddhism
The Book of Compassion,"H.H. the Dalai Lama, Kailash Satyarthi, and Pooja Pande","""The Book of Compassion"" brings together two Nobel Peace Prize Laureates, His Holiness the Dalai Lama and Kailash Satyarthi, along with writer Pooja Pande, to advocate for compassion in today's world.",Penguin Random House India,2024,https://www.dalailama.com/assets/books/_bookCover/The-book-of-compassion-n.jpg,Ethics
Appearing and Empty - Library of Wisdom and Compassion Vol 9,H.H. the Dalai Lama and Ven Thubten Chodron,In the ninth volume the Dalai Lama presents the analysis and meditations necessary to realize the ultimate nature of reality.,3Wisdom Publications,2023,https://www.dalailama.com/assets/books/_bookCover/n-Library-of-Wisdom-and-Compassion-v9.jpg,Buddhism
"Science and Philosophy in the Indian Buddhist Classics, Vol. 4: Philosophical Topics","Conceived and Introduced by H.H. the Dalai Lama, edited by Thupten jinpa, Introductory Essay by Dechen Rochard","This fourth volume provides, through extensive passages, a window into the works of the great thinkers from the flowering of philosophy in classical India.",Wisdom Publications,2023,https://www.dalailama.com/assets/books/_bookCover/buddhist-philosopy-4-n.jpg,Buddhism
Heart to Heart,H.H. the Dalai Lama and Patrick McDonnell,From His Holiness the Dalai Lama and cartoonist and award-winning author Patrick McDonnell comes a powerful and timely gem of a book on how to heal our relationship with the planet and each other.,HarperCollins,2023,https://www.dalailama.com/assets/books/_bookCover/heart-to-heart-n.jpg,Ethics
"Science and Philosophy in the Indian Buddhist Classics, Vol. 3: Philosophical Schools","Conceived and Introduced by H.H. the Dalai Lama, edited by Thupten jinpa, Introductory Essay by Donald S Lopez Jr.",In this third volume the focus turns to exploring the philosophical schools of India.,Wisdom Publications,2023,https://www.dalailama.com/assets/books/_bookCover/Science-and-Philosophy-3n.jpg,Buddhism
Realizing the Profound View - Library of Wisdom and Compassion Vol 8,H.H. the Dalai Lama and Ven Thubten Chodron,In the eighth volume the Dalai Lama presents the analysis and meditations necessary to realize the ultimate nature of reality.,Wisdom Publications,2022,https://www.dalailama.com/assets/books/_bookCover/n-Library-of-Wisdom-and-Compassion-V8.jpg,Buddhism
The Little Book of Joy,"H.H. the Dalai Lama and Archibishop Desmond Tutu, illustrated by Rafael Lopex","""The Little Book of Joy"" picture book shows young readers how they can thrive and find joy, and why sharing joy with others makes it grow.",Crown Books for Young Readers,2022,https://www.dalailama.com/assets/books/_bookCover/littel-book-of-joy-n.jpg,Ethics
Searching for the Self - Library of Wisdom and Compassion Vol 7,H.H. the Dalai Lama and Ven Thubten Chodron,In the seventh volume the Dalai Lama leads us go delve deeply into the topic of the ultimate nature of reality.,Wisdom Publications,2022,https://www.dalailama.com/assets/books/_bookCover/searching-for-the-self-n.jpg,Buddhism
This Fragile Planet: His Holiness the Dalai Lama on Environment,"H.H. the Dalai Lama, edited by Michael Buckley",His Holiness the Dalai Lama's puts forth an ethical approach to dealing with the urgent issues of climate change and taking care of our delicate ecosystems.,Sumeru Press Inc,2021,https://www.dalailama.com/assets/books/_bookCover/fragile-planet-n1.jpg,Ethics
Courageous Compassion - Library of Wisdom and Compassion Vol 6,H.H. the Dalai Lama and Ven Thubten Chodron,"In the sixth volume the Dalai Lama explores bodhisattvas’ activities across multiple Buddhist traditions—Tibetan, Theravāda, and Chinese Buddhism.",Wisdom Publications,2021,https://www.dalailama.com/assets/books/_bookCover/corageous-compassion-vol6-n.jpg,Buddhism
